,index,query_type,standard,question_word,comparee_type,parameter,comparee,answer,question
2673,last,comparee,grand slam appearance,what,#,grand slam appearance,year,most,in what year did fabrice santoro make his last grand slam appearance ?
2674,#,difference,score,what,score,score,2,nan,what was the score difference for the september 15th game ?
2675,more or less,index,win,did,loser,win,australia ii,less,did the australia ii win more or less races than the liberty ?
2676,top,comparee,row,what,score,row,score,least,what is the score in the top row ?
2677,highest,comparee,score,#,date,score,#,most,the game with the shortest delta and highest score:
2678,last,comparee,winner,what,winner,winner,winner,most,what winner is listed last in the table ?
2679,more or less,index,number,was,player,number,canadian players,less,was the the number of canadian players more or less than the number of other players ?
2680,most,comparee,players,which,nationality,players,nationality,most,the most players picked came from which nationality ?
2681,last,comparee,pick,which,nhl team,pick,nhl team,most,which nhl team had the last pick ?
2682,#,difference,#,what,model name,#,al-7,nan,what is the difference in thrust between the al-7 and al-21 ?
2683,first,comparee,model name,what,model name,model name,model,least,what model is listed first in the table ?
2684,top,comparee,#,what,thrust (kg) / power (eshp),#,#,least,what was the top thrust achieved by a lyul'ka engine before 1980 ?
2685,largest,comparee,amount of alphanumeric digits,#,first issued	,amount of alphanumeric digits,#,most,name the year of the license plate that has the largest amount of alphanumeric digits.
2686,least,comparee,characters,which,first issued	,characters,year,least,which year featured the license plate with the least characters ?
2687,first,comparee,arizona license plate made,what,first issued	,arizona license plate made,year,least,what was year was the first arizona license plate made ?
2688,most,comparee,most favorite actress,what,#,most favorite actress,#,most,what is the name of the person who won most favorite actress the year before dian sastrowardoyo won ?
2689,first,comparee,category,what,#,category,#,least,what is the first category listed on this chart ?
2690,#,comparee,most favorite actor,who,#,most favorite actor,#,most,who was the most favorite actor the year before nicholas saputra ?
2691,#,comparee,most favourite movie award,what,#,most favourite movie award,#,most,what number of years has the most favourite movie award been given ?
2692,#,comparee,win best scary scene,what,#,win best scary scene,#,nan,what is the only movie to win best scary scene before kuntilanak did ?
2693,#,comparee,won best film,what,#,won best film,#,nan,what won best film previous to janji joni ?
2694,#,comparee,#,how many,#,#,#,nan,how many years has the best crying scene award been given ?
2695,top,comparee,#,#,#,#,#,least,"at the top of the table, list the categories given."
2696,least,comparee,number of players,which,position,number of players,position,least,which position had the least number of players in round nine ?
2697,last,comparee,player,who,player,player,#,most,who was the last player selected in round nine ?
2698,more,difference,seasons,how many,head coach,seasons,marty brill,more,how many more seasons was marty brill head coach compared to tom conley ?
2699,more or less,index,games,did,season,games,1933,less,did the team win more or less games in 1933 than the year before ?
2700,highest,comparee,number of medals,which,nation,number of medals,country,most,which country had the highest number of medals ?
2701,most,comparee,songwriters,what,title,songwriters,#,most,what track/title had the most songwriters ?
2702,first,comparee,gain,what,gain,gain,#,least,"what was the first gain on may 30th, 1963 ?"
2703,same,index,gains and losses,were,date,gains and losses,"july 8th, 1964",equal,"were the gains and losses the same on july 8th, 1964 and may 30, 1963 ?"
2704,largest,comparee,amount of points in,which,date,amount of points in,game,most,which game did georgia score the largest amount of points in ?
2705,least,comparee,number of people in attendance,what,date,number of people in attendance,date,least,what was the date of the game that had the least number of people in attendance ?
2706,first,comparee,game,what,date,game,date,least,what date what the first game on ?
2707,taller,comparee,elevation,what,peak name,elevation,two peaks,more,what two peaks are taller than dumlong ?
2708,#,difference,feet,how many,peak name,feet,7th,most,how many feet separate the 7th and 8th ranked highest peaks ?
2709,least,comparee,amount of ways,what,#,amount of ways,#,least,"what is the least amount of ways you can conjugate the verb ""be"" ?"
2710,last,comparee,row,#,#,row,#,most,the last row on the list all has verbs ending in:
2711,most,comparee,looff carousels,which,location,looff carousels,state,most,which state is/was home to the most looff carousels ?
2712,most,comparee,players,which,college,players,college,most,which college was the most attended by players ?
2713,top,comparee,player for 2003,who,player,player for 2003,#,least,who was the top player for 2003 ?
2714,least,comparee,number of laps,what,driver,number of laps,driver,least,what driver completed the least number of laps ?
2715,least,comparee,number of laps,which,driver,number of laps,driver,least,which driver completed the least number of laps ?
2716,least,comparee,number of laps,which,driver,number of laps,driver,least,which driver did the least number of laps ?
2717,least,comparee,number of points,what,artist,number of points,artist,least,what artist scored the least number of points ?
2718,most,comparee,points,which,country,points,country,most,which country scored the most points ?
2719,highest,index,points,which,country,points,france,nan,"which artist's song results scored the highest, france or spain ?"
2720,last,comparee,draw,which,country,draw,country,most,which country is listed last on the chart ?
2721,least,index,amount of points,which,artist,amount of points,diana,least,"which artist's song scored the least amount of points, diana or kali ?"
2722,best,comparee,amount of points,which,country,amount of points,country,nan,which country earned the best amount of points after the first ?
2723,more,comparee,persian unit,what,persian unit,persian unit,persian unit,more,what persian unit is more than a league ?
